Longitude,Latitude,nestbox_ID2,year,initialeggs,NHatched,NFledged,fledge_fail,comment,psi,Forest,PLAN_NO,GridID,FID,layer,path,polygon_id,polygonID
-2.2606611,55.136043,eals burn _2010,2010,3,2,2,2,sitting tight ,NA,Redesdale,NY8382,3655,0,RedesdaleA,C:/Users/r01ak21/OneDrive - University of Aberdeen/OneDrive_1_10-01-2022/Career/PhD/Reading/My PhD/Chapters/Chapter 2/Data/RedesdalePolygon.shp|layername=RedesdalePolygon,5,5
-2.2606611,55.136043,eals burn _2012,2012,4,4,3,2,,NA,Redesdale,NY8382,3655,0,RedesdaleA,C:/Users/r01ak21/OneDrive - University of Aberdeen/OneDrive_1_10-01-2022/Career/PhD/Reading/My PhD/Chapters/Chapter 2/Data/RedesdalePolygon.shp|layername=RedesdalePolygon,5,5
-2.2606611,55.136043,eals burn _2014,2014,3,3,3,2,,NA,Redesdale,NY8382,3655,0,RedesdaleA,C:/Users/r01ak21/OneDrive - University of Aberdeen/OneDrive_1_10-01-2022/Career/PhD/Reading/My PhD/Chapters/Chapter 2/Data/RedesdalePolygon.shp|layername=RedesdalePolygon,5,5
-2.2606611,55.136043,eals burn _2016,2016,1,1,1,2,,NA,Redesdale,NY8382,3655,0,RedesdaleA,C:/Users/r01ak21/OneDrive - University of Aberdeen/OneDrive_1_10-01-2022/Career/PhD/Reading/My PhD/Chapters/Chapter 2/Data/RedesdalePolygon.shp|layername=RedesdalePolygon,5,5
-2.2606611,55.136043,eals burn _2018,2018,3,1,1,2,,NA,Redesdale,NY8382,3655,0,RedesdaleA,C:/Users/r01ak21/OneDrive - University of Aberdeen/OneDrive_1_10-01-2022/Career/PhD/Reading/My PhD/Chapters/Chapter 2/Data/RedesdalePolygon.shp|layername=RedesdalePolygon,5,5
-2.2606611,55.136043,eals burn_1997,1997,2,2,2,2,,NA,Redesdale,NY8382,3655,0,RedesdaleA,C:/Users/r01ak21/OneDrive - University of Aberdeen/OneDrive_1_10-01-2022/Career/PhD/Reading/My PhD/Chapters/Chapter 2/Data/RedesdalePolygon.shp|layername=RedesdalePolygon,5,5
-2.2606611,55.136043,eals burn_1998,1998,3,3,2,2,,NA,Redesdale,NY8382,3655,0,RedesdaleA,C:/Users/r01ak21/OneDrive - University of Aberdeen/OneDrive_1_10-01-2022/Career/PhD/Reading/My PhD/Chapters/Chapter 2/Data/RedesdalePolygon.shp|layername=RedesdalePolygon,5,5
-2.3786274,55.037875,game clengh _1995,1995,2,1,1,2,,NA,Redesdale,NY7571,3196,2,RedesdaleA,C:/Users/r01ak21/OneDrive - University of Aberdeen/OneDrive_1_10-01-2022/Career/PhD/Reading/My PhD/Chapters/Chapter 2/Data/RedesdalePolygon.shp|layername=RedesdalePolygon,7,7
-2.3786274,55.037875,game clengh_2003,2003,2,2,2,2,,NA,Redesdale,NY7571,3196,2,RedesdaleA,C:/Users/r01ak21/OneDrive - University of Aberdeen/OneDrive_1_10-01-2022/Career/PhD/Reading/My PhD/Chapters/Chapter 2/Data/RedesdalePolygon.shp|layername=RedesdalePolygon,7,7
-2.3786274,55.037875,game clengh_2006,2006,2,1,1,2,,NA,Redesdale,NY7571,3196,2,RedesdaleA,C:/Users/r01ak21/OneDrive - University of Aberdeen/OneDrive_1_10-01-2022/Career/PhD/Reading/My PhD/Chapters/Chapter 2/Data/RedesdalePolygon.shp|layername=RedesdalePolygon,7,7
-2.3786274,55.037875,game clengh_2007,2007,2,2,2,2,,NA,Redesdale,NY7571,3196,2,RedesdaleA,C:/Users/r01ak21/OneDrive - University of Aberdeen/OneDrive_1_10-01-2022/Career/PhD/Reading/My PhD/Chapters/Chapter 2/Data/RedesdalePolygon.shp|layername=RedesdalePolygon,7,7
-2.3786274,55.037875,game clengh_2008,2008,3,3,3,2,,NA,Redesdale,NY7571,3196,2,RedesdaleA,C:/Users/r01ak21/OneDrive - University of Aberdeen/OneDrive_1_10-01-2022/Career/PhD/Reading/My PhD/Chapters/Chapter 2/Data/RedesdalePolygon.shp|layername=RedesdalePolygon,7,7
-2.3786274,55.037875,game clengh_2010,2010,3,3,3,2,sitting tight ,NA,Redesdale,NY7571,3196,2,RedesdaleA,C:/Users/r01ak21/OneDrive - University of Aberdeen/OneDrive_1_10-01-2022/Career/PhD/Reading/My PhD/Chapters/Chapter 2/Data/RedesdalePolygon.shp|layername=RedesdalePolygon,7,7
-2.3786274,55.037875,game clengh_2011,2011,3,3,3,2,,NA,Redesdale,NY7571,3196,2,RedesdaleA,C:/Users/r01ak21/OneDrive - University of Aberdeen/OneDrive_1_10-01-2022/Career/PhD/Reading/My PhD/Chapters/Chapter 2/Data/RedesdalePolygon.shp|layername=RedesdalePolygon,7,7
-2.3786274,55.037875,game clengh_2012,2012,2,1,1,2,,NA,Redesdale,NY7571,3196,2,RedesdaleA,C:/Users/r01ak21/OneDrive - University of Aberdeen/OneDrive_1_10-01-2022/Career/PhD/Reading/My PhD/Chapters/Chapter 2/Data/RedesdalePolygon.shp|layername=RedesdalePolygon,7,7
-2.3786274,55.037875,game clengh_2018,2018,4,3,3,2,,NA,Redesdale,NY7571,3196,2,RedesdaleA,C:/Users/r01ak21/OneDrive - University of Aberdeen/OneDrive_1_10-01-2022/Career/PhD/Reading/My PhD/Chapters/Chapter 2/Data/RedesdalePolygon.shp|layername=RedesdalePolygon,7,7
-2.3786274,55.037875,game clengh_2021,2021,2,1,1,2,,NA,Redesdale,NY7571,3196,2,RedesdaleA,C:/Users/r01ak21/OneDrive - University of Aberdeen/OneDrive_1_10-01-2022/Career/PhD/Reading/My PhD/Chapters/Chapter 2/Data/RedesdalePolygon.shp|layername=RedesdalePolygon,7,7
-2.3786274,55.037875,game cleugh_1997,1997,1,0,0,1,1 egg cold ,NA,Redesdale,NY7571,3196,2,RedesdaleA,C:/Users/r01ak21/OneDrive - University of Aberdeen/OneDrive_1_10-01-2022/Career/PhD/Reading/My PhD/Chapters/Chapter 2/Data/RedesdalePolygon.shp|layername=RedesdalePolygon,7,7
-2.3786274,55.037875,game clough_2017,2017,3,3,3,2,,NA,Redesdale,NY7571,3196,2,RedesdaleA,C:/Users/r01ak21/OneDrive - University of Aberdeen/OneDrive_1_10-01-2022/Career/PhD/Reading/My PhD/Chapters/Chapter 2/Data/RedesdalePolygon.shp|layername=RedesdalePolygon,7,7
-2.3786274,55.037875,game clough_2020,2020,7,0,0,1,; cold eggs,NA,Redesdale,NY7571,3196,2,RedesdaleA,C:/Users/r01ak21/OneDrive - University of Aberdeen/OneDrive_1_10-01-2022/Career/PhD/Reading/My PhD/Chapters/Chapter 2/Data/RedesdalePolygon.shp|layername=RedesdalePolygon,7,7
-2.3786274,55.037875,game clough_2023,2023,0,0,0,1,very good scrape with down a ground below box down feather and CV,NA,Redesdale,NY7571,3196,2,RedesdaleA,C:/Users/r01ak21/OneDrive - University of Aberdeen/OneDrive_1_10-01-2022/Career/PhD/Reading/My PhD/Chapters/Chapter 2/Data/RedesdalePolygon.shp|layername=RedesdalePolygon,7,7
-2.3534337,55.197363,gleadlee birch_2017,2017,3,3,3,2,,NA,Redesdale,NY7789,3936,0,RedesdaleA,C:/Users/r01ak21/OneDrive - University of Aberdeen/OneDrive_1_10-01-2022/Career/PhD/Reading/My PhD/Chapters/Chapter 2/Data/RedesdalePolygon.shp|layername=RedesdalePolygon,5,5
-2.3534337,55.197363,gleadlee box _1994,1994,2,3,2,2,,NA,Redesdale,NY7789,3936,0,RedesdaleA,C:/Users/r01ak21/OneDrive - University of Aberdeen/OneDrive_1_10-01-2022/Career/PhD/Reading/My PhD/Chapters/Chapter 2/Data/RedesdalePolygon.shp|layername=RedesdalePolygon,5,5
-2.3534337,55.197363,gleadlee douglas_2003,2003,3,3,3,2,,NA,Redesdale,NY7789,3936,0,RedesdaleA,C:/Users/r01ak21/OneDrive - University of Aberdeen/OneDrive_1_10-01-2022/Career/PhD/Reading/My PhD/Chapters/Chapter 2/Data/RedesdalePolygon.shp|layername=RedesdalePolygon,5,5
-2.3534337,55.197363,gleadlee douglas_2006,2006,3,3,3,2,,NA,Redesdale,NY7789,3936,0,RedesdaleA,C:/Users/r01ak21/OneDrive - University of Aberdeen/OneDrive_1_10-01-2022/Career/PhD/Reading/My PhD/Chapters/Chapter 2/Data/RedesdalePolygon.shp|layername=RedesdalePolygon,5,5
